Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"0402WGF1001TCE","R - RESISTOR - SMD - 1k - 1% - 0402","BMS_R_VREF, GPIO_R_ADC_AA, GPIO_R_ADC_BA, GPIO_R_DAC_A_B, GPIO_R_DAC_A_C, GPIO_R_DAC_B_B, GPIO_R_DAC_B_C","R_0402","C11702","0402WGF1001TCE","7"
"CL05A105KA5NQNC","C - CAPACITOR - MLCC - 1uF - 25V - 0402","DAC_C_VREF, IO_C_UA_A, IO_C_UB_A","C_0402","C52923","CL05A105KA5NQNC","3"
"TLV431BQDBZR","U - IC - ADJUSTABLE SHUNT REGULATOR","DAC_U_VREF","TO-236AB","C398374","TLV431BQDBZR","1"
"0402WGF1501TCE","R - RESISTOR - SMD - 1.5k - 1% - 0402","GPIO_R_ADC_AB, GPIO_R_ADC_BB, GPIO_R_DAC_A_A, GPIO_R_DAC_A_D, GPIO_R_DAC_B_A, GPIO_R_DAC_B_D","R_0402","C25867","0402WGF1501TCE","6"
"CL31A226KAHNNNE","C - CAPACITOR - MLCC - 22uF - 25V - 1206","IO_C_A, IO_C_B, IO_C_E","C_1206","C12891","CL31A226KAHNNNE","3"
"250-206/000-006","J - 6 Position Wire to Board Terminal Block 45° (135°) Angle with Board 0.138 (3.50mm) Through Hole","J1","P-250-206","C2765065","250-206/000-006","1"
"SMTSO3020CTJ","J - PCB NUT - M3 x 2","J_SCREW","SMTSO3020CTJ","C2916381","SMTSO3020CTJ","1"
"LM324","U - IC - OP AMP (QUAD)","U1, U2","SOIC-8-P1.27-W3.5","C63813","LMV358IDR","2"
"BITSNAP_GF_B","U - IC - Bitsnap CPU, NGFF B Key","U?","POWERNET-USB","C2761344","POWERNET_USB","1"
