Altium Designer Pick and Place Locations
C:\git\system42_hw\analog_daq\Project Outputs for analog_daq\Pick Place for v0.csv

========================================================================================================================
File Design Information:

Date:       12/02/24
Time:       16:41
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"J_SCREW","SMTSO3020CTJ","TopLayer","SMTSO3020CTJ","135.0000","142.0000","90","J - PCB NUT - M3 x 2","135.0000","142.0000","135.0000","142.0000"
"IO_C_E","CL31A226KAHNNNE","TopLayer","C_1206","192.5000","132.5000","90","C - CAPACITOR - MLCC - 22uF - 25V - 1206","192.5000","132.5000","192.5000","131.1046"
"IO_C_B","CL31A226KAHNNNE","TopLayer","C_1206","190.5000","132.5000","90","C - CAPACITOR - MLCC - 22uF - 25V - 1206","190.5000","132.5000","190.5000","131.1046"
"IO_C_A","CL31A226KAHNNNE","TopLayer","C_1206","188.5000","132.5000","90","C - CAPACITOR - MLCC - 22uF - 25V - 1206","188.5000","132.5000","188.5000","131.1046"
"J1","250-206/000-006","TopLayer","P-250-206","202.3000","134.8000","0","J - 6 Position Wire to Board Terminal Block 45° (135°) Angle with Board 0.138 (3.50mm) Through Hole","203.5000","134.0000","204.8000","143.5500"
"GPIO_R_ADC_BB","0402WGF1501TCE","TopLayer","R_0402","196.0000","125.5000","270","R - RESISTOR - SMD - 1.5k - 1% - 0402","196.0000","125.5000","196.0000","126.0080"
"GPIO_R_ADC_BA","0402WGF1001TCE","TopLayer","R_0402","195.0000","125.5000","270","R - RESISTOR - SMD - 1k - 1% - 0402","195.0000","125.5000","195.0000","126.0080"
"GPIO_R_ADC_AB","0402WGF1501TCE","TopLayer","R_0402","186.0000","125.5000","90","R - RESISTOR - SMD - 1.5k - 1% - 0402","186.0000","125.5000","186.0000","124.9920"
"GPIO_R_ADC_AA","0402WGF1001TCE","TopLayer","R_0402","186.0000","128.0000","90","R - RESISTOR - SMD - 1k - 1% - 0402","186.0000","128.0000","186.0000","127.4920"
"IO_C_UB_A","CL05A105KA5NQNC","TopLayer","C_0402","195.0000","128.0000","90","C - CAPACITOR - MLCC - 1uF - 25V - 0402","195.0000","128.0000","195.0000","127.4920"
"IO_C_UA_A","CL05A105KA5NQNC","TopLayer","C_0402","194.0000","143.2500","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","194.0000","143.2500","194.0000","143.7580"
"U1","LM324","TopLayer","SOIC-8-P1.27-W3.5","190.5000","126.7450","0","U - IC - OP AMP (QUAD)","190.5000","126.7500","187.7000","128.6500"
"GPIO_R_DAC_B_B","0402WGF1001TCE","TopLayer","R_0402","195.0000","138.5000","90","R - RESISTOR - SMD - 1k - 1% - 0402","195.0000","138.5000","195.0000","137.9920"
"GPIO_R_DAC_A_D","0402WGF1501TCE","TopLayer","R_0402","185.0000","137.0000","90","R - RESISTOR - SMD - 1.5k - 1% - 0402","185.0000","137.0000","185.0000","136.4920"
"GPIO_R_DAC_A_C","0402WGF1001TCE","TopLayer","R_0402","185.0000","140.0000","270","R - RESISTOR - SMD - 1k - 1% - 0402","185.0000","140.0000","185.0000","140.5080"
"GPIO_R_DAC_B_D","0402WGF1501TCE","TopLayer","R_0402","195.5000","140.5000","180","R - RESISTOR - SMD - 1.5k - 1% - 0402","195.5000","140.5000","196.0080","140.5000"
"GPIO_R_DAC_B_C","0402WGF1001TCE","TopLayer","R_0402","196.0000","138.5000","90","R - RESISTOR - SMD - 1k - 1% - 0402","196.0000","138.5000","196.0000","137.9920"
"GPIO_R_DAC_A_A","0402WGF1501TCE","TopLayer","R_0402","186.0000","137.0000","90","R - RESISTOR - SMD - 1.5k - 1% - 0402","186.0000","137.0000","186.0000","136.4920"
"GPIO_R_DAC_A_B","0402WGF1001TCE","TopLayer","R_0402","186.0000","140.0000","90","R - RESISTOR - SMD - 1k - 1% - 0402","186.0000","140.0000","186.0000","139.4920"
"GPIO_R_DAC_B_A","0402WGF1501TCE","TopLayer","R_0402","195.5000","137.0000","180","R - RESISTOR - SMD - 1.5k - 1% - 0402","195.5000","137.0000","196.0080","137.0000"
"U2","LM324","TopLayer","SOIC-8-P1.27-W3.5","190.5000","138.4950","360","U - IC - OP AMP (QUAD)","190.5000","138.5000","187.7000","140.4000"
"DAC_U_VREF","TLV431BQDBZR","TopLayer","TO-236AB","190.5000","143.2500","270","U - IC - ADJUSTABLE SHUNT REGULATOR","190.5000","143.2500","191.4500","144.4000"
"DAC_C_VREF","CL05A105KA5NQNC","TopLayer","C_0402","188.0000","143.2500","90","C - CAPACITOR - MLCC - 1uF - 25V - 0402","188.0000","143.2500","188.0000","142.7420"
"BMS_R_VREF","0402WGF1001TCE","TopLayer","R_0402","193.0000","143.2500","90","R - RESISTOR - SMD - 1k - 1% - 0402","193.0000","143.2500","193.0000","142.7420"
"U?","BITSNAP_GF_B","TopLayer","POWERNET-USB","178.2499","134.0000","90","U - IC - Bitsnap CPU, NGFF B Key","178.5000","134.0000","182.0000","143.2500"
