Altium Designer Pick and Place Locations
C:\Users\user\Nextcloud\PC-SYNC\Projects\_source_codes\github\cp2\cp2\Project Outputs for CPU.2\Pick Place for CPU.2(F1).csv

========================================================================================================================
File Design Information:

Date:       05/05/22
Time:       20:32
Revision:   5d7000eb86b3d21bdce9299366a97921d7b62eee
Variant:    F1
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C6","CL05B104KO5NNNC","TopLayer","C_0402","49.7000","30.2000","0","C - CAPACITOR - MLCC - 100nF - 16V - 0402","49.7000","30.2000","49.1920","30.2000"
"C4","CL05B104KO5NNNC","TopLayer","C_0402","47.6000","30.2000","180","C - CAPACITOR - MLCC - 100nF - 16V - 0402","47.6000","30.2000","48.1080","30.2000"
"R6","0","TopLayer","NET_TIE","49.2000","38.9000","90","R - Net Tie","49.2000","38.9000","49.2000","38.7000"
"Q2","2N7002","TopLayer","TO-236AB","49.8000","36.7000","90","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","49.8000","36.7000","48.8500","35.5500"
"R12","0402WGF5101TCE","TopLayer","R_0402","51.1000","42.1000","90","R - RESISTOR - SMD - 5.1k - 1% - 0402","51.1000","42.1000","51.1000","41.5920"
"R11","0402WGF5101TCE","TopLayer","R_0402","46.0000","30.7000","270","R - RESISTOR - SMD - 5.1k - 1% - 0402","46.0000","30.7000","46.0000","31.2080"
"R10","0402WGF1000TCE","TopLayer","R_0402","52.2000","33.8000","180","R - RESISTOR - SMD - 100R - 1% - 0402","52.2000","33.8000","52.7080","33.8000"
"Q1","AO3401A","TopLayer","TO-236AB","52.6000","31.5000","90","Q - TRANSISTOR - MOSFET (P) - 30V - 1.4A - 0.44 Ohm","52.6000","31.5000","51.6500","30.3500"
"U?","GD32F103CBT6","TopLayer","QFP-48-P0.5MM","41.4000","39.2000","0","U - IC - MCU, 128 KB Flash, 20 KB Internal RAM, 37 I/Os, 48-pin LQFP, -40 to 85 degC","41.4000","39.2000","37.2250","41.9500"
"U2","FUSB302BMPX","TopLayer","QFN-14-P0.5MM","48.5000","32.7000","180","U - IC - USB PD PHY","48.5000","32.7000","50.0150","32.2040"
"J3","NGFF_MALE_B","TopLayer","NGFF_MALE_B","18.2875","39.5000","270","NGFF Male Finger, B Key","20.7250","39.5000","18.1000","30.2500"
"J4","918-418K2023S40001","TopLayer","DX07S016JA1R1500","54.5215","39.5050","90","J - JACK - USB - Type C - Recepticle - SMT - 90°","55.7000","39.5000","52.4030","37.7500"
"C7","CL05A106MQ5NUNC","TopLayer","C_0402","43.7000","30.6920","90","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","43.7000","30.6920","43.7000","30.1840"
"C1","CL05A106MQ5NUNC","TopLayer","C_0402","44.8000","30.7000","90","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","44.8000","30.7000","44.8000","30.1920"
"R8","0402WGF0000TCE","TopLayer","R_0402","33.4000","38.7000","270","R - RESISTOR - SMD - 0R - 1% - 0402","33.4000","38.7000","33.4000","39.2080"
"C9","0402CG120J500NT","TopLayer","C_0402","30.7000","35.3000","360","C - CAPACITOR - MLCC - 12pF - 50V - 0402","30.7000","35.3000","30.1920","35.3000"
"R","KT-0603R","TopLayer","D_0603","26.2300","44.1000","180","D - LED - 0603 - Red","26.2300","44.1000","26.9300","44.1000"
"G","19-217/GHC-YR1S2/3T","TopLayer","D_0603","26.2300","42.8000","180","D - LED - 0603 - Green","26.2300","42.8000","26.9300","42.8000"
"B","19-217/BHC-ZL1M2RY/3T","TopLayer","D_0603","26.2300","41.5000","180","D - LED - 0603 - Blue","26.2300","41.5000","26.9300","41.5000"
"L0","SDFL1608S100KTF","TopLayer","L_0603","35.0000","33.5000","360","L - INDUCTOR - 10uH - 0603","35.0000","33.5000","34.2300","33.5000"
"C10","0402CG101J500NT","TopLayer","C_0402","31.0000","43.7000","360","C - CAPACITOR - MLCC - 100pF - 50V - 0402","31.0000","43.7000","30.4920","43.7000"
"C8","0402CG120J500NT","TopLayer","C_0402","31.0000","42.5000","360","C - CAPACITOR - MLCC - 12pF - 50V - 0402","31.0000","42.5000","30.4920","42.5000"
"C2","CL05A106MQ5NUNC","TopLayer","C_0402","35.6000","44.9000","360","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","35.6000","44.9000","35.0920","44.9000"
"C3","CL05A105KA5NQNC","TopLayer","C_0402","33.4000","36.5000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","33.4000","36.5000","33.4000","37.0080"
"R2","0402WGF470JTCE","TopLayer","R_0402","28.7000","43.7000","180","R - RESISTOR - SMD - 47R - 1% - 0402","28.7000","43.7000","29.2080","43.7000"
"R3","0402WGF1200TCE","TopLayer","R_0402","28.7000","44.9000","180","R - RESISTOR - SMD - 120R - 1% - 0402","28.7000","44.9000","29.2080","44.9000"
"R4","0402WGF470JTCE","TopLayer","R_0402","28.2000","41.9000","270","R - RESISTOR - SMD - 47R - 1% - 0402","28.2000","41.9000","28.2000","42.4080"
"R5","0402WGF1001TCE","TopLayer","R_0402","41.6000","30.2000","360","R - RESISTOR - SMD - 1k - 1% - 0402","41.6000","30.2000","41.0920","30.2000"
"SW","TS-1187A-C-C-B","TopLayer","TS-1187A-C-C-B","26.2000","36.7000","270","SW - SWITCH - SPST - NO - Top Actuated Surface Mount","26.2000","36.7000","28.0500","39.6500"
"Y0","X50328MSB2GI","TopLayer","YSX530GA","31.0600","38.9000","270","Y - RESONATOR - 8MHZ ±10PPM - SMD-5032","31.0600","38.9000","31.0600","40.7500"
"C6","CL05A106MQ5NUNC","TopLayer","C_0402","48.4000","44.2000","270","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","48.4000","44.2000","48.4000","44.7080"
"R7","0402WGF1501TCE","TopLayer","R_0402","49.5000","44.2000","90","R - RESISTOR - SMD - 1.5k - 1% - 0402","49.5000","44.2000","49.5000","43.6920"
"C0","CL05A106MQ5NUNC","TopLayer","C_0402","46.2000","46.8000","270","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","46.2000","46.8000","46.2000","47.3080"
"C5","CL21A106KAYNNNE","TopLayer","C_0805","45.8000","49.2000","180","C - CAPACITOR - MLCC - 10uF - 25V - 0805","45.8000","49.2000","46.7500","49.2000"
"R0","0402WGF220JTCE","TopLayer","R_0402","49.5000","41.2000","90","R - RESISTOR - SMD - 22R - 1% - 0402","49.5000","41.2000","49.5000","40.6920"
"R1","0402WGF220JTCE","TopLayer","R_0402","50.6000","44.2000","90","R - RESISTOR - SMD - 22R - 1% - 0402","50.6000","44.2000","50.6000","43.6920"
"U1","HT7533-1","TopLayer","SOT-223-3","50.8000","47.8500","360","U - IC - 3V3 Power Regulator","51.3000","47.8000","49.5000","49.4000"
