Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"19-217/BHC-ZL1M2RY/3T","D - LED - 0603 - Blue","B","D_0603","C72041","19-217/BHC-ZL1M2RY/3T","1"
"CL05A106MQ5NUNC","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","C0, C1, C2, C6, C7, Ceth0_20, Ceth0_282, Cueth_b_c, Cueth_b_d, Cueth_b_e, Cueth_b_f","C_0402","C15525","CL05A106MQ5NUNC","11"
"CL05A105KA5NQNC","C - CAPACITOR - MLCC - 1uF - 25V - 0402","C3","C_0402","C52923","CL05A105KA5NQNC","1"
"CL21A106KAYNNNE","C - CAPACITOR - MLCC - 10uF - 25V - 0805","C5, Cueth_b_a, Cueth_b_b","C_0805","C15850","CL21A106KAYNNNE","3"
"0402CG120J500NT","C - CAPACITOR - MLCC - 12pF - 50V - 0402","C8, C9, Ceth0_xi, Ceth0_xo","C_0402","C1547","0402CG120J500NT","4"
"0402CG101J500NT","C - CAPACITOR - MLCC - 100pF - 50V - 0402","C10","C_0402","C1546","0402CG101J500NT","1"
"CL05B104KO5NNNC","C - CAPACITOR - MLCC - 100nF - 16V - 0402","Ceth0_8, Ceth0_11, Ceth0_15, Ceth0_17, Ceth0_21, Ceth0_22, Ceth0_281, Cupd_a, Cupd_b","C_0402","C1525","CL05B104KO5NNNC","9"
"0402B223K500NT","C - CAPACITOR - MLCC - 22nF - 50V - 0402","Cta_a","C_0402","C1532","0402B223K500NT","1"
"0402B682K500NT","C - CAPACITOR - MLCC - 6.8nF - 50V - 0402","Cta_b, Cta_c","C_0402","C1542","0402B682K500NT","2"
"CL05B103KB5NNNC","C - CAPACITOR - MLCC - 10nF - 50V - 0402","Cta_d","C_0402","C15195","CL05B103KB5NNNC","1"
"1206B102K202NT","C - CAPACITOR - MLCC - 1nF - 2000V - 1206 - X7R","Cta_e, Cta_f","C_1206","C9196","1206B102K202NT","2"
"1N5819WS","D - DIODE - SCHOTTKY - 40V - 1A","Dta_a, Dta_b, Dta_c, Dta_d, Dta_e, Dta_f, Dta_g, Dta_h","SOD-323","C191023","1N5819WS","8"
"0","R - Net Tie","eth_NTa, eth_NTb, eth_NTc, NTeth_a","NET_TIE","","NET_TIE","4"
"19-217/GHC-YR1S2/3T","D - LED - 0603 - Green","G","D_0603","C72043","19-217/GHC-YR1S2/3T","1"
