Altium Designer Pick and Place Locations
C:\git\cp2\cp4\Project Outputs for CPU\Pick Place for CPU(F4).csv

========================================================================================================================
File Design Information:

Date:       07/11/22
Time:       20:38
Revision:   Not in VersionControl
Variant:    F4
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"MCU_U_F","AG9705-2BR","TopLayer","AG9000","63.8600","29.7000","180","U - IC - POE 5V 9W","63.1000","29.7000","89.2600","29.7000"
"MCU_R_SCKB","0","TopLayer","R_0402","55.4000","31.3000","360","R - RESISTOR - SMD - 0R - 1% - 0402","55.4000","31.3000","54.8920","31.3000"
"MCU_ETH_R_A","0402WGF1002TCE","TopLayer","R_0402","58.1000","30.0000","360","R - RESISTOR - SMD - 10k - 1% - 0402","58.1000","30.0000","57.5920","30.0000"
"MCU_R_CSB","0402WGF0000TCE","TopLayer","R_0402","55.4000","32.3000","360","R - RESISTOR - SMD - 0R - 1% - 0402","55.4000","32.3000","54.8920","32.3000"
"MCU_R_CSA","0402WGF0000TCE","TopLayer","R_0402","55.4000","30.3000","360","R - RESISTOR - SMD - 0R - 1% - 0402","55.4000","30.3000","54.8920","30.3000"
"MCU_R_S","0402WGF1002TCE","TopLayer","R_0402","75.2000","48.6000","90","R - RESISTOR - SMD - 10k - 1% - 0402","75.2000","48.6000","75.2000","48.0920"
"MCU_R_R","0402WGF1002TCE","TopLayer","R_0402","72.5000","44.2000","180","R - RESISTOR - SMD - 10k - 1% - 0402","72.5000","44.2000","73.0080","44.2000"
"MCU_R_Q","0402WGF5101TCE","TopLayer","R_0402","76.8000","49.1000","180","R - RESISTOR - SMD - 5.1k - 1% - 0402","76.8000","49.1000","77.3080","49.1000"
"MCU_R_P","0402WGF5101TCE","TopLayer","R_0402","76.8000","48.1000","180","R - RESISTOR - SMD - 5.1k - 1% - 0402","76.8000","48.1000","77.3080","48.1000"
"MCU_R_O","0402WGF0000TCE","TopLayer","R_0402","70.9000","43.7000","90","R - RESISTOR - SMD - 0R - 1% - 0402","70.9000","43.7000","70.9000","43.1920"
"MCU_D_C","ZMM3V3-M","TopLayer","DO-213AA","67.7000","43.5000","180","D - DIODE - ZENER - 3.3V - 500mW","67.7000","43.5000","69.5000","43.5000"
