Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"CL05A106MQ5NUNC","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","MCU_C_A, MCU_C_B, MCU_C_C, MCU_C_D, MCU_C_E, MCU_C_I, MCU_C_K, MCU_C_P","C_0402","C15525","CL05A106MQ5NUNC","8"
"CL05A105KA5NQNC","C - CAPACITOR - MLCC - 1uF - 25V - 0402","MCU_C_F","C_0402","C52923","CL05A105KA5NQNC","1"
"0402CG120J500NT","C - CAPACITOR - MLCC - 12pF - 50V - 0402","MCU_C_G, MCU_C_H","C_0402","C1547","0402CG120J500NT","2"
"CL21A106KAYNNNE","C - CAPACITOR - MLCC - 10uF - 25V - 0805","MCU_C_L","C_0805","C15850","CL21A106KAYNNNE","1"
"CL05B104KO5NNNC","C - CAPACITOR - MLCC - 100nF - 16V - 0402","MCU_C_M, MCU_C_N","C_0402","C1525","CL05B104KO5NNNC","2"
"0402CG101J500NT","C - CAPACITOR - MLCC - 100pF - 50V - 0402","MCU_C_R","C_0402","C1546","0402CG101J500NT","1"
"1N4148WS","D - DIODE - FAST TRR - 100V - 150mA - 4ns","MCU_D_A, MCU_D_B","SOD-323","C2128","1N4148WS","2"
"ZMM3V3-M","D - DIODE - ZENER - 3.3V - 500mW","MCU_D_C","DO-213AA","C8056","ZMM3V3-M","1"
"NGFF_MALE_B","NGFF Male Finger, B Key","MCU_J_A","NGFF_MALE_B","","NGFF_MALE_B","1"
"918-418K2023S40001","J - JACK - USB - Type C - Recepticle - SMT - 90°","MCU_J_B","DX07S016JA1R1500","C167321","918-418K2023S40001","1"
"SDFL1608S100KTF","L - INDUCTOR - 10uH - 0603","MCU_L_A","L_0603","C1035","SDFL1608S100KTF","1"
"19-217/BHC-ZL1M2RY/3T","D - LED - 0603 - Blue","MCU_LED_B","D_0603","C72041","19-217/BHC-ZL1M2RY/3T","1"
"19-217/GHC-YR1S2/3T","D - LED - 0603 - Green","MCU_LED_G","D_0603","C72043","19-217/GHC-YR1S2/3T","1"
"KT-0603R","D - LED - 0603 - Red","MCU_LED_R","D_0603","C2286","KT-0603R","1"
"0402WGF2200TCE","R - RESISTOR - SMD - 220R - 1% - 0402","MCU_LED_R_B","R_0402","C25091","0402WGF2200TCE","1"
"0402WGF3300TCE","R - RESISTOR - SMD - 330R - 1% - 0402","MCU_LED_R_G, MCU_LED_R_R, MCU_LED_R_Y, MCU_R_A","R_0402","C25104","0402WGF3300TCE","4"
"19-21UYC/S530-A4/TR8","D - LED - 0603 - Yellow (Sodium)","MCU_LED_Y","D_0603","C409441","19-21UYC/S530-A4/TR8","1"
"0402WGF4701TCE","R - RESISTOR - SMD - 4.7k - 1% - 0402","MCU_R_B","R_0402","C25900","0402WGF4701TCE","1"
"0402WGF0000TCE","R - RESISTOR - SMD - 0R - 1% - 0402","MCU_R_C, MCU_R_K, MCU_R_L, MCU_R_M, MCU_R_N, MCU_R_O","R_0402","C17168","0402WGF0000TCE","6"
"0402WGF220JTCE","R - RESISTOR - SMD - 22R - 1% - 0402","MCU_R_F, MCU_R_G","R_0402","C25092","0402WGF220JTCE","2"
"0402WGF1501TCE","R - RESISTOR - SMD - 1.5k - 1% - 0402","MCU_R_H","R_0402","C25867","0402WGF1501TCE","1"
"0402WGF5101TCE","R - RESISTOR - SMD - 5.1k - 1% - 0402","MCU_R_I, MCU_R_J, MCU_R_P, MCU_R_Q","R_0402","C25905","0402WGF5101TCE","4"
"0402WGF1002TCE","R - RESISTOR - SMD - 10k - 1% - 0402","MCU_R_R, MCU_R_S","R_0402","C25744","0402WGF1002TCE","2"
"TS-1187A-B-A-B","SW - SWITCH - SPST - NO - Top Actuated Surface Mount","MCU_SW_A","TS-1187A-C-C-B","C318884","TS-1187A-B-A-B","1"
"STM32F405RGT6","U - IC - MCU 32BIT 1MB FLASH 64LQFP","MCU_U_A","QFP-64-P0.5MM","C15742","STM32F405RGT6","1"
"HT7533-1","U - IC - 3V3 Power Regulator","MCU_U_C","SOT-223-3","C14289","HT7533-1","1"
"FUSB302BMPX","U - IC - USB PD PHY","MCU_U_D","QFN-14-P0.5MM","C442699","FUSB302BMPX","1"
"24LC256T-I/SN","U - IC - EEPROM 256k","MCU_U_G","SOIC-8-P1.27-W3.5","C5458","24LC256T-I/SN","1"
"X50328MSB2GI","Y - RESONATOR - 8MHZ ±10PPM - SMD-5032","MCU_Y_A","YSX530GA","C115962","X50328MSB2GI","1"
