Altium Designer Pick and Place Locations
C:\git\system42_hw\cpu_usb\Project Outputs for CPU\Pick Place for CPU(F4).csv

========================================================================================================================
File Design Information:

Date:       07/03/24
Time:       17:39
Revision:   Not in VersionControl
Variant:    F4
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"MCU_C_K","CL05A106MQ5NUNC","TopLayer","C_0402","53.1000","29.2000","360","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","53.1000","29.2000","52.5920","29.2000"
"MCU_R_S","0402WGF1002TCE","TopLayer","R_0402","61.9000","47.8000","360","R - RESISTOR - SMD - 10k - 1% - 0402","61.9000","47.8000","61.3920","47.8000"
"MCU_R_R","0402WGF1002TCE","TopLayer","R_0402","61.9000","45.8000","360","R - RESISTOR - SMD - 10k - 1% - 0402","61.9000","45.8000","61.3920","45.8000"
"MCU_R_Q","0402WGF5101TCE","TopLayer","R_0402","52.4000","39.9000","270","R - RESISTOR - SMD - 5.1k - 1% - 0402","52.4000","39.9000","52.4000","40.4080"
"MCU_R_P","0402WGF5101TCE","TopLayer","R_0402","53.4000","39.9000","270","R - RESISTOR - SMD - 5.1k - 1% - 0402","53.4000","39.9000","53.4000","40.4080"
"MCU_R_O","0402WGF0000TCE","TopLayer","R_0402","54.8000","35.4000","90","R - RESISTOR - SMD - 0R - 1% - 0402","54.8000","35.4000","54.8000","34.8920"
"MCU_D_C","ZMM3V3-M","TopLayer","DO-213AA","55.5000","31.3000","270","D - DIODE - ZENER - 3.3V - 500mW","55.5000","31.3000","55.5000","33.1000"
"MCU_C_P","CL05A106MQ5NUNC","TopLayer","C_0402","61.9000","49.8000","180","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","61.9000","49.8000","62.4080","49.8000"
"MCU_R_N","0402WGF0000TCE","TopLayer","R_0402","61.9000","46.8000","180","R - RESISTOR - SMD - 0R - 1% - 0402","61.9000","46.8000","62.4080","46.8000"
"MCU_R_M","0402WGF0000TCE","TopLayer","R_0402","61.9000","48.8000","180","R - RESISTOR - SMD - 0R - 1% - 0402","61.9000","48.8000","62.4080","48.8000"
