Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"CL05A106MQ5NUNC","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","C0, C1, C2, C6, C7, Ceth0_20, Ceth0_282, CPU_C_V_V_A, CPU_C_V_V_B, CPU_C_V_V_C","C_0402","C15525","CL05A106MQ5NUNC","10"
"CL05A105KA5NQNC","C - CAPACITOR - MLCC - 1uF - 25V - 0402","C3","C_0402","C52923","CL05A105KA5NQNC","1"
"CL21A106KAYNNNE","C - CAPACITOR - MLCC - 10uF - 25V - 0805","C5, CPU_V_ISO_C, Cueth_b_a, Cueth_b_b","C_0805","C15850","CL21A106KAYNNNE","4"
"0402CG120J500NT","C - CAPACITOR - MLCC - 12pF - 50V - 0402","C8, C9, Ceth0_xi, Ceth0_xo","C_0402","C1547","0402CG120J500NT","4"
"0402CG101J500NT","C - CAPACITOR - MLCC - 100pF - 50V - 0402","C10","C_0402","C1546","0402CG101J500NT","1"
"CL05B104KO5NNNC","C - CAPACITOR - MLCC - 100nF - 16V - 0402","Ceth0_8, Ceth0_11, Ceth0_15, Ceth0_17, Ceth0_21, Ceth0_22, Ceth0_281, CPU_C_V_V_E, Cupd_a, Cupd_b","C_0402","C1525","CL05B104KO5NNNC","10"
"19-217/BHC-ZL1M2RY/3T","D - LED - 0603 - Blue","CPU_LED_B","D_0603","C72041","19-217/BHC-ZL1M2RY/3T","1"
"0402WGF2200TCE","R - RESISTOR - SMD - 220R - 1% - 0402","CPU_LED_B_R","R_0402","C25091","0402WGF2200TCE","1"
"19-217/GHC-YR1S2/3T","D - LED - 0603 - Green","CPU_LED_G","D_0603","C72043","19-217/GHC-YR1S2/3T","1"
"0402WGF3300TCE","R - RESISTOR - SMD - 330R - 1% - 0402","CPU_LED_G_R, CPU_LED_R_R, CPU_LED_Y_R, Reth0_25, Reth0_27","R_0402","C25104","0402WGF3300TCE","5"
"KT-0603R","D - LED - 0603 - Red","CPU_LED_R","D_0603","C2286","KT-0603R","1"
"19-21UYC/S530-A4/TR8","D - LED - 0603 - Yellow (Sodium)","CPU_LED_Y","D_0603","C409441","19-21UYC/S530-A4/TR8","1"
"0402WGF0000TCE","R - RESISTOR - SMD - 0R - 1% - 0402","CPU_R_E, CPU_R_F, CPU_R_G, MCU_R_Y, R5, R8","R_0402","C17168","0402WGF0000TCE","6"
"PQME1-S24-S5-S","U - IC - 1 W, 1:1 Input Range, Single/Dual Unregulated Output, SIP, 24VDC IN, 3000 Vdc Isolation, Dc-Dc Converter","CPU_U_V_V_A","PQME1","N/A","PQME1-S24-S5-S","1"
"TPS563201DDCR","U - IC - ADJ Power Regulator","CPU_U_V_V_B","SOT-23-6","C116592","TPS563201DDCR","1"
"0402WGF1002TCE","R - RESISTOR - SMD - 10k - 1% - 0402","CPU_V_V_FB_A, Reth_a, Reth_b, Reth_d","R_0402","C25744","0402WGF1002TCE","4"
"0402WGF5602TCE","R - RESISTOR - SMD - 56k - 1% - 0402","CPU_V_V_FB_B","R_0402","C25796","0402WGF5602TCE","1"
"SWPA3015S3R3MT","L - INDUCTOR - 3.3uH - 1.36A - 3mm","CPU_V_V_L","swpa301","C48020","SWPA3015S3R3MT","1"
"0402B223K500NT","C - CAPACITOR - MLCC - 22nF - 50V - 0402","Cta_a","C_0402","C1532","0402B223K500NT","1"
"0402B682K500NT","C - CAPACITOR - MLCC - 6.8nF - 50V - 0402","Cta_b, Cta_c","C_0402","C1542","0402B682K500NT","2"
"CL05B103KB5NNNC","C - CAPACITOR - MLCC - 10nF - 50V - 0402","Cta_d","C_0402","C15195","CL05B103KB5NNNC","1"
"1206B102K202NT","C - CAPACITOR - MLCC - 1nF - 2000V - 1206 - X7R","Cta_e, Cta_f","C_1206","C9196","1206B102K202NT","2"
"1N4148WS","D - DIODE - FAST TRR - 100V - 150mA - 4ns","D_CPU_A, D_CPU_B, Dta_a, Dta_b, Dta_c, Dta_d, Dta_e, Dta_f, Dta_g, Dta_h","SOD-323","C2128","1N4148WS","10"
"0","R - Net Tie","eth_NTa, eth_NTa?, eth_NTb, eth_NTc, NTeth_a","NET_TIE","","NET_TIE","5"
"NGFF_MALE_B","NGFF Male Finger, B Key","J3","NGFF_MALE_B","","NGFF_MALE_B","1"
"918-418K2023S40001","J - JACK - USB - Type C - Recepticle - SMT - 90°","J4","DX07S016JA1R1500","C167321","918-418K2023S40001","1"
"2-406549-1","J - JACK - ETHERNET - Right - THT","Jeth","TE_2-406549-1","C125068","2-406549-1","1"
"SDFL1608S100KTF","L - INDUCTOR - 10uH - 0603","L0, Leth_a","L_0603","C1035","SDFL1608S100KTF","2"
"0402WGF4701TCE","R - RESISTOR - SMD - 4.7k - 1% - 0402","MCU_R_Z","R_0402","C25900","0402WGF4701TCE","1"
"0402WGF220JTCE","R - RESISTOR - SMD - 22R - 1% - 0402","R0, R1","R_0402","C25092","0402WGF220JTCE","2"
"0402WGF1501TCE","R - RESISTOR - SMD - 1.5k - 1% - 0402","R7","R_0402","C25867","0402WGF1501TCE","1"
"0402WGF5101TCE","R - RESISTOR - SMD - 5.1k - 1% - 0402","R11, R12","R_0402","C25905","0402WGF5101TCE","2"
"0402WGF1004TCE","R - RESISTOR - SMD - 1M - 1% - 0402","Reth_c","R_0402","C26083","0402WGF1004TCE","1"
"0402WGF1202TCE","R - RESISTOR - SMD - 12k - 1% - 0402","Reth_e","R_0402","C25752","0402WGF1202TCE","1"
"0402WGF499JTCE","R - RESISTOR - SMD - 49.9R - 1% - 0402","Rta_a, Rta_b","R_0402","C25120","0402WGF499JTCE","2"
"0402WGF100JTCE","R - RESISTOR - SMD - 10R - 1% - 0402","Rta_c","R_0402","C25077","0402WGF100JTCE","1"
"0603WAF820JT5E","R - RESISTOR - SMD - 82R - 1% - 0603","Rta_e, Rta_g","R_0603","C23255","0603WAF820JT5E","2"
"0402WGF750JTCE","R - RESISTOR - SMD - 75R - 1% - 0402","Rta_i, Rta_j","R_0402","C25133","0402WGF750JTCE","2"
"0402WGF1500TCE","R - RESISTOR - SMD - 150R - 1% - 0402","Rta_k, Rta_l","R_0402","C25082","0402WGF1500TCE","2"
"TS-1187A-B-A-B","SW - SWITCH - SPST - NO - Top Actuated Surface Mount","SW","TS-1187A-C-C-B","C318884","TS-1187A-B-A-B","1"
"H1102NLT","T - Transfrormer - Isolation and Data Interface _Encapsulated_ Pulse Transformer 1:1 Transmitter, 1:1 Receiver Surface Mount","Ta","XFMR_H1102NLT","C18584","H1102NLT","1"
"STM32F405RGT6","U - IC - MCU 32BIT 1MB FLASH 64LQFP","U0","QFP-64-P0.5MM","C15742","STM32F405RGT6","1"
"HT7533-1","U - IC - 3V3 Power Regulator","U1","SOT-223-3","C14289","HT7533-1","1"
"W5500","U - IC - Ethernet Controller 10/100 Base-T/TX PHY SPI Interface 48-LQFP (7x7)","Ueth_a","QFP-48-P0.5MM","C32843","W5500","1"
"X50328MSB2GI","Y - RESONATOR - 8MHZ ±10PPM - SMD-5032","Y0","YSX530GA","C115962","X50328MSB2GI","1"
"X322525MOB4SI","Y - RESONATOR - 25MHZ ±10PPM","Yeth","X322512MSB4SI","C9006","X322525MOB4SI","1"
