Altium Designer Pick and Place Locations
C:\git\cp2\cp3\Project Outputs for CPU.3\Pick Place for CPU.3(F4).csv

========================================================================================================================
File Design Information:

Date:       22/08/22
Time:       18:49
Revision:   817dc0b6d89dc3fccd98128e23da7703481909fc
Variant:    F4
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"MCU_R_Y","0402WGF0000TCE","TopLayer","R_0402","52.1000","45.0000","360","R - RESISTOR - SMD - 0R - 1% - 0402","52.1000","45.0000","51.5920","45.0000"
"MCU_R_Z","0402WGF4701TCE","TopLayer","R_0402","26.2000","33.2000","360","R - RESISTOR - SMD - 4.7k - 1% - 0402","26.2000","33.2000","25.6920","33.2000"
"CPU_R_G","0402WGF0000TCE","TopLayer","R_0402","84.2000","29.6000","360","R - RESISTOR - SMD - 0R - 1% - 0402","84.2000","29.6000","83.6920","29.6000"
"CPU_R_E","0402WGF0000TCE","TopLayer","R_0402","86.2000","29.6000","360","R - RESISTOR - SMD - 0R - 1% - 0402","86.2000","29.6000","85.6920","29.6000"
"CPU_V_ISO_C","CL21A106KAYNNNE","TopLayer","C_0805","70.0000","48.1000","90","C - CAPACITOR - MLCC - 10uF - 25V - 0805","70.0000","48.1000","70.0000","47.1500"
"CPU_V_V_L","SWPA3015S3R3MT","TopLayer","swpa301","67.0000","44.8000","270","L - INDUCTOR - 3.3uH - 1.36A - 3mm","67.0000","44.8000","67.0000","45.9000"
"CPU_V_V_FB_B","0402WGF5602TCE","TopLayer","R_0402","70.0000","45.8000","180","R - RESISTOR - SMD - 56k - 1% - 0402","70.0000","45.8000","70.5080","45.8000"
"CPU_V_V_FB_A","0402WGF1002TCE","TopLayer","R_0402","64.5000","49.0000","90","R - RESISTOR - SMD - 10k - 1% - 0402","64.5000","49.0000","64.5000","48.4920"
"CPU_U_V_V_B","TPS563201DDCR","TopLayer","SOT-23-6","67.0000","48.5000","180","U - IC - ADJ Power Regulator","67.0000","48.5000","68.2000","47.5500"
"CPU_C_V_V_E","CL05B104KO5NNNC","TopLayer","C_0402","64.5000","47.0000","90","C - CAPACITOR - MLCC - 100nF - 16V - 0402","64.5000","47.0000","64.5000","46.4920"
"CPU_U_V_V_A","PQME1-S24-S5-S","TopLayer","PQME1","82.2700","44.7680","180","U - IC - 1 W, 1:1 Input Range, Single/Dual Unregulated Output, SIP, 24VDC IN, 3000 Vdc Isolation, Dc-Dc Converter","81.0000","46.8000","88.6200","44.7680"
"CPU_LED_Y","19-21UYC/S530-A4/TR8","TopLayer","D_0603","26.2000","41.6000","180","D - LED - 0603 - Yellow (Sodium)","26.2000","41.6000","26.9000","41.6000"
"CPU_LED_Y_R","0402WGF3300TCE","TopLayer","R_0402","26.3500","40.4000","180","R - RESISTOR - SMD - 330R - 1% - 0402","26.3500","40.4000","26.8580","40.4000"
"D_CPU_B","1N4148WS","TopLayer","SOD-323","30.9500","34.9000","180","D - DIODE - FAST TRR - 100V - 150mA - 4ns","30.9500","34.9000","32.0500","34.9000"
"D_CPU_A","1N4148WS","TopLayer","SOD-323","30.9500","33.1500","180","D - DIODE - FAST TRR - 100V - 150mA - 4ns","30.9500","33.1500","32.0500","33.1500"
"eth_NTa?","0","TopLayer","NET_TIE","60.3000","33.5000","180","R - Net Tie","60.3000","33.5000","60.5000","33.5000"
"Cta_f","1206B102K202NT","TopLayer","C_1206","86.2000","37.7000","270","C - CAPACITOR - MLCC - 1nF - 2000V - 1206 - X7R","86.2000","37.7000","86.2000","39.0954"
"eth_NTb","0","TopLayer","NET_TIE","60.3000","32.3000","180","R - Net Tie","60.3000","32.3000","60.5000","32.3000"
"Cupd_a","CL05B104KO5NNNC","TopLayer","C_0402","49.7000","30.2000","0","C - CAPACITOR - MLCC - 100nF - 16V - 0402","49.7000","30.2000","49.1920","30.2000"
"Cupd_b","CL05B104KO5NNNC","TopLayer","C_0402","47.6000","30.2000","180","C - CAPACITOR - MLCC - 100nF - 16V - 0402","47.6000","30.2000","48.1080","30.2000"
"CPU_LED_R","KT-0603R","TopLayer","D_0603","26.2300","43.0000","180","D - LED - 0603 - Red","26.2300","43.0000","26.9300","43.0000"
"C0","CL05A106MQ5NUNC","TopLayer","C_0402","46.7000","47.0000","360","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","46.7000","47.0000","46.1920","47.0000"
"C1","CL05A106MQ5NUNC","TopLayer","C_0402","44.8000","30.7000","90","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","44.8000","30.7000","44.8000","30.1920"
"C2","CL05A106MQ5NUNC","TopLayer","C_0402","35.6000","45.1000","360","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","35.6000","45.1000","35.0920","45.1000"
"C3","CL05A105KA5NQNC","TopLayer","C_0402","33.4000","36.5000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","33.4000","36.5000","33.4000","37.0080"
"C5","CL21A106KAYNNNE","TopLayer","C_0805","45.8000","49.2000","180","C - CAPACITOR - MLCC - 10uF - 25V - 0805","45.8000","49.2000","46.7500","49.2000"
"C6","CL05A106MQ5NUNC","TopLayer","C_0402","48.2000","44.2000","270","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","48.2000","44.2000","48.2000","44.7080"
