Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"CL05A106MQ5NUNC","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","MCU_C_A, MCU_C_B, MCU_C_C, MCU_C_D, MCU_C_E, MCU_C_I, MCU_C_J, MCU_C_K, MCU_C_O, MCU_C_P, MCU_ETH_C_D, MCU_ETH_C_J","C_0402","C15525","CL05A106MQ5NUNC","12"
"CL05A105KA5NQNC","C - CAPACITOR - MLCC - 1uF - 25V - 0402","MCU_C_F","C_0402","C52923","CL05A105KA5NQNC","1"
"0402CG120J500NT","C - CAPACITOR - MLCC - 12pF - 50V - 0402","MCU_C_G, MCU_C_H, MCU_ETH_C_A, MCU_ETH_C_B","C_0402","C1547","0402CG120J500NT","4"
"CL21A106KAYNNNE","C - CAPACITOR - MLCC - 10uF - 25V - 0805","MCU_C_L, MCU_ETH_C_L, MCU_ETH_C_M","C_0805","C15850","CL21A106KAYNNNE","3"
"CL05B104KO5NNNC","C - CAPACITOR - MLCC - 100nF - 16V - 0402","MCU_C_M, MCU_C_N, MCU_ETH_C_C, MCU_ETH_C_E, MCU_ETH_C_F, MCU_ETH_C_G, MCU_ETH_C_H, MCU_ETH_C_I, MCU_ETH_C_K","C_0402","C1525","CL05B104KO5NNNC","9"
"0402CG101J500NT","C - CAPACITOR - MLCC - 100pF - 50V - 0402","MCU_C_R","C_0402","C1546","0402CG101J500NT","1"
"1N4148WS","D - DIODE - FAST TRR - 100V - 150mA - 4ns","MCU_D_A, MCU_D_B, MCU_ETH_D_A, MCU_ETH_D_B, MCU_ETH_D_C, MCU_ETH_D_D, MCU_ETH_D_E, MCU_ETH_D_F, MCU_ETH_D_G, MCU_ETH_D_H","SOD-323","C2128","1N4148WS","10"
"ZMM3V3-M","D - DIODE - ZENER - 3.3V - 500mW","MCU_D_C","DO-213AA","C8056","ZMM3V3-M","1"
"1206B102K202NT","C - CAPACITOR - MLCC - 1nF - 2000V - 1206 - X7R","MCU_ETH_C_O, MCU_ETH_C_P","C_1206","C9196","1206B102K202NT","2"
"0402B223K500NT","C - CAPACITOR - MLCC - 22nF - 50V - 0402","MCU_ETH_C_Q","C_0402","C1532","0402B223K500NT","1"
"0402B682K500NT","C - CAPACITOR - MLCC - 6.8nF - 50V - 0402","MCU_ETH_C_R, MCU_ETH_C_S","C_0402","C1542","0402B682K500NT","2"
"CL05B103KB5NNNC","C - CAPACITOR - MLCC - 10nF - 50V - 0402","MCU_ETH_C_T","C_0402","C15195","CL05B103KB5NNNC","1"
"SDFL1608S100KTF","L - INDUCTOR - 10uH - 0603","MCU_ETH_L_A, MCU_L_A","L_0603","C1035","SDFL1608S100KTF","2"
"0","R - Net Tie","MCU_ETH_NT_B, MCU_ETH_NT_C, MCU_ETH_NT_D, MCU_ETH_NT_E","NET_TIE","","NET_TIE","4"
"0402WGF1002TCE","R - RESISTOR - SMD - 10k - 1% - 0402","MCU_ETH_R_A, MCU_ETH_R_B, MCU_ETH_R_D, MCU_R_R, MCU_R_S","R_0402","C25744","0402WGF1002TCE","5"
"0402WGF1004TCE","R - RESISTOR - SMD - 1M - 1% - 0402","MCU_ETH_R_C","R_0402","C26083","0402WGF1004TCE","1"
